    2.8148531896E-03    2.0344236869E-04    1.8907560528E-07    7.0672793029E-05   -2.0618468484E-06
    5.6386442530E-03    7.5488091123E-04    1.2705667619E-06    2.2793176796E-04   -1.0883567582E-05
    8.4803394438E-03    1.6434896691E-03    4.4893486341E-06    4.3043416188E-04   -3.1783189120E-05
    1.1348961866E-02    2.8429263855E-03    1.1137671455E-05    6.5189593690E-04   -6.9335231951E-05
    1.4253620124E-02    4.3172319696E-03    2.2881810399E-05    8.7582814160E-04   -1.2821789554E-04
    1.7203537246E-02    5.9621723015E-03    4.0395188503E-05    1.0919683344E-03   -2.0765218302E-04
    2.0208079967E-02    7.6632365683E-03    6.3840472651E-05    1.2968519245E-03   -3.0378236452E-04
    2.3276788474E-02    9.3248016042E-03    9.3522201432E-05    1.4893940482E-03   -4.1267958868E-04
    2.6419406696E-02    1.0831937172E-02    1.3051870065E-04    1.6676720413E-03   -5.3011549930E-04
    2.9645913243E-02    1.2141209584E-02    1.7400891108E-04    1.8348455436E-03   -6.4992358695E-04
    3.2966553094E-02    1.3221923245E-02    2.2394163203E-04    1.9920382371E-03   -7.6818850770E-04
    3.6391870122E-02    1.4015543486E-02    2.8118562982E-04    2.1381583922E-03   -8.8015314643E-04
    3.9932740580E-02    1.4580096882E-02    3.4448969785E-04    2.2760400023E-03   -9.8487438543E-04
    4.3600407630E-02    1.4902824850E-02    4.1435552064E-04    2.4044735049E-03   -1.0796249088E-03
    4.7406517047E-02    1.5027427256E-02    4.8991424837E-04    2.5242138970E-03   -1.1644173847E-03
    5.1363154194E-02    1.4972986487E-02    5.7083521970E-04    2.6342775895E-03   -1.2383207694E-03
    5.5482882399E-02    1.4778375543E-02    6.5638063352E-04    2.7353148955E-03   -1.3024535093E-03
    5.9778782847E-02    1.4461161749E-02    7.4591349667E-04    2.8257384936E-03   -1.3561977561E-03
    6.4264496110E-02    1.4059067800E-02    8.3835687049E-04    2.9068965157E-03   -1.4014680993E-03
    6.8954265469E-02    1.3587353900E-02    9.3277362388E-04    2.9777263219E-03   -1.4381684238E-03
    7.3862982132E-02    1.3067876088E-02    1.0279317160E-03    3.0382381581E-03   -1.4670998837E-03
    7.9006232520E-02    1.2518331364E-02    1.1228685330E-03    3.0891856847E-03   -1.4893813965E-03
    8.4400347761E-02    1.1952333053E-02    1.2164667937E-03    3.1308698137E-03   -1.5056328252E-03
    9.0062455539E-02    1.1381547796E-02    1.3075794857E-03    3.1639828581E-03   -1.5164166389E-03
    9.6010534486E-02    1.0816719228E-02    1.3949131794E-03    3.1893744092E-03   -1.5222159893E-03
    1.0226347126E-01    1.0264892310E-02    1.4776468001E-03    3.2079929022E-03   -1.5236583464E-03
    1.0884112053E-01    9.7311636265E-03    1.5549350112E-03    3.2201483874E-03   -1.5211830316E-03
    1.1576436799E-01    9.2189300773E-03    1.6260105344E-03    3.2260466932E-03   -1.5152632664E-03
    1.2305519672E-01    8.7309723458E-03    1.6902495954E-03    3.2256685433E-03   -1.5064215608E-03
    1.3073675695E-01    8.2699036775E-03    1.7472151388E-03    3.2188548777E-03   -1.4950561056E-03
    1.3883343959E-01    7.8376080150E-03    1.7966560027E-03    3.2058375437E-03   -1.4813686888E-03
    1.4737095365E-01    7.4351003197E-03    1.8383263695E-03    3.1871309567E-03   -1.4654885661E-03
    1.5637640792E-01    7.0625569698E-03    1.8721970448E-03    3.1630928797E-03   -1.4476382808E-03
    1.6587839699E-01    6.7190465254E-03    1.8983105207E-03    3.1348567020E-03   -1.4278638505E-03
    1.7590709210E-01    6.4018776671E-03    1.9166494709E-03    3.1043917898E-03   -1.4060763960E-03
    1.8649433690E-01    6.1085189148E-03    1.9272880740E-03    3.0716357584E-03   -1.3824695115E-03
    1.9767374857E-01    5.8366504778E-03    1.9305431400E-03    3.0345538244E-03   -1.3573954589E-03
    2.0948082460E-01    5.5835866292E-03    1.9269877308E-03    2.9907994730E-03   -1.3310439557E-03
    2.2195305545E-01    5.3483800104E-03    1.9175310006E-03    2.9417916475E-03   -1.3033289961E-03
    2.3513004361E-01    5.1315499533E-03    1.9024307775E-03    2.8884518944E-03   -1.2744078990E-03
    2.4905362937E-01    4.9314425573E-03    1.8817841319E-03    2.8307504911E-03   -1.2447047380E-03
    2.6376802365E-01    4.7430055359E-03    1.8561628807E-03    2.7709617533E-03   -1.2142871032E-03
    2.7931994840E-01    4.5602599204E-03    1.8259230013E-03    2.7097203894E-03   -1.1826004423E-03
    2.9575878491E-01    4.3812811183E-03    1.7909456444E-03    2.6444813413E-03   -1.1495019571E-03
    3.1313673067E-01    4.2059527411E-03    1.7513359875E-03    2.5748896474E-03   -1.1150479280E-03
    3.3150896507E-01    4.0357869736E-03    1.7074622948E-03    2.4997074220E-03   -1.0792411462E-03
    3.5093382463E-01    3.8711518610E-03    1.6599411974E-03    2.4163584562E-03   -1.0423296926E-03
    3.7147298820E-01    3.7062930675E-03    1.6087962268E-03    2.3272500188E-03   -1.0040380080E-03
    3.9319167284E-01    3.5413502193E-03    1.5536416430E-03    2.2343909305E-03   -9.6389551105E-04
    4.1615884089E-01    3.3836930952E-03    1.4944735791E-03    2.1383143768E-03   -9.2264924222E-04
    4.4044741895E-01    3.2270427679E-03    1.4325139686E-03    2.0365408971E-03   -8.7975270513E-04
    4.6613452942E-01    3.0649051541E-03    1.3677288520E-03    1.9307750752E-03   -8.3396927357E-04
    4.9330173539E-01    2.8913757656E-03    1.3001776516E-03    1.8215579543E-03   -7.8573090072E-04
